,word,F_true,F_negative,power_n,F_positive,power_p,pred_n,pred_p
5938,вставили,0.00016333177013280606,0.00023224564954131484,1.421925748753439,0.00011337893201406771,0.6941633701874327,0.0005941012163852601,0.001031448243965311
5939,включения,0.0034905979056412567,0.005551776955701907,1.5904945530189882,0.002485615048000715,0.7120886206869145,0.0011061126368264577,0.00018763050103917872
5940,приходите,0.00013487244654905955,0.00029307189108784967,2.1729559935078764,8.067347085616357e-05,0.5981464184889593,0.0006664608030827759,0.0010256688489013233
5941,охлаждение,0.00017694275097720656,0.0001990676996068413,1.125040152859864,0.0001569862135579399,0.8872147216596773,0.0005565446374788035,0.0010634888879845561
5942,решено,0.0003476986924796856,0.0004257836908257439,1.2245766234816096,0.0003270546115790415,0.9406265213325464,0.0005494169494003739,0.0010707742834502947
5943,нещадно,0.0003254261783706666,0.0004866099323722787,1.4953005157993795,0.00025074186887726513,0.770503068108016,0.0006155897266231623,0.001013156454047934
5944,просыпаться,0.00022643722677502656,0.00024330496618613936,1.0744919006973686,0.00021149531548778015,0.9340130088146164,0.0005389776257637249,0.001071058943266293
5945,постоянной,0.0006941600230644257,0.0007409742152032426,1.0674400578877359,0.0005843375726878874,0.8417908742544433,0.000430438800405166,0.0009936575395610634
5946,какуюнибудь,0.0003303756259504486,0.0005253175406291646,1.5900614311903092,0.0002463811407228779,0.7457606474874493,0.000638576810115779,0.0010036418439817874
5947,пластиковую,0.00013982189412884154,0.00021565667457407807,1.542366994223073,0.00010029674755090605,0.7173179005748964,0.0006056382933581965,0.0010412626325101819
5948,указан,0.0004961821198731457,0.0009953384980342064,2.0059942875182113,0.00024856150480007154,0.5009481294159068,0.0008119996220722087,0.0008401179313022727
5949,век,0.0006904479373795893,0.0011335799560945128,1.641803667915517,0.0005145659222176919,0.7452638995064413,0.0007175071298243318,0.0009243270254640669
5950,оставляйте,0.00012868563707433203,0.00015483043302754322,1.20316794125291,9.593601939651883e-05,0.7455068147279234,0.0005728742872989367,0.0010478337270783268
5951,всякого,0.0006892105754846438,0.0006082624154653484,0.8825494516499929,0.000625764490154566,0.9079438308307105,0.00033960585573672376,0.0010419760307613084
